Latitude,Longitude,Midpoint Elevation (ft),Lithology
47.53590862,-122.3895096,208.8,Sandy silt
47.53590862,-122.3895096,192.8,Clayey silt
47.50777888,-122.390073,141.6,Sand
47.50637957,-122.3892788,91.95,Silty sand
47.5056725,-122.3892538,11.55,Gravelly sand
47.50571018,-122.3889598,54.5,Gravelly sand
47.50571018,-122.3889598,40.75,Silty sand
47.57705326,-122.4185709,11.7999999045,Fill
47.57705326,-122.4185709,-5.800000000000001,Sandy gravel
47.57705326,-122.4185709,-22.44999962,Gravelly sand
47.57705326,-122.4185709,-37.69999962,Clayey silt
47.57827206,-122.4114824,15.2,Gravelly sand
47.57827206,-122.4114824,8.7,Sandy gravel
47.57837234,-122.4117211,15.8,Gravelly sand
47.57837234,-122.4117211,8.8,Sandy gravel
47.57868608,-122.4116512,16.4,Gravelly sand
47.57868608,-122.4116512,9.399999999999999,Sandy gravel
47.58443232,-122.3993094,25.100000024,Fill
47.58443232,-122.3993094,22.1999999285,Sand
47.58443232,-122.3993094,14.6999998095,Sand
47.58443232,-122.3993094,6.200000285000001,Silty sand
47.58443232,-122.3993094,-23.800001145,Sand
47.58454046,-122.3995726,15.5,Fill
47.58454046,-122.3995726,3.5,Sand
47.58454046,-122.3995726,-7.0,Sandy silt
47.58454046,-122.3995726,-11.0,Sand
47.58430616,-122.3991428,34.2,Fill
47.58430616,-122.3991428,28.700000000000003,Sand
47.58430616,-122.3991428,23.950000000000003,Silty sand
47.58430616,-122.3991428,12.950000000000003,Sand
47.58430616,-122.3991428,-1.0499999999999972,Sandy silt
47.58430616,-122.3991428,-12.299999999999997,Sand
47.58430616,-122.3991428,-20.049999999999997,Peat
47.58430616,-122.3991428,-28.799999999999997,Sandy gravel
47.58426469,-122.3989954,52.75,Clayey silt
47.58426469,-122.3989954,43.5,Sand
47.58426469,-122.3989954,37.0,Sandy silt
47.58426469,-122.3989954,31.5,Sand
47.58426469,-122.3989954,24.0,Sand
47.58426469,-122.3989954,17.5,Sand
47.58985992,-122.3931754,13.8,Sand
47.58985992,-122.3931754,7.300000000000001,Fill
47.58985992,-122.3931754,3.5500000000000007,Silt
47.58985992,-122.3931754,-0.1999999999999993,Silt
47.58985992,-122.3931754,-6.449999999999999,Silty sand
47.58985992,-122.3931754,-12.2,Gravelly sand
47.58985992,-122.3931754,-20.2,Silty sand
47.58985992,-122.3931754,-27.2,Silty sand
47.5896496,-122.3932936,13.2,Fill
47.5896496,-122.3932936,7.949999999999999,Fill
47.5896496,-122.3932936,2.9499999999999993,Sand
47.5896496,-122.3932936,-2.3000000000000007,Silt
47.5896496,-122.3932936,-8.8,Gravelly sand
47.59004243,-122.3930806,14.600000000000001,Sand
47.59004243,-122.3930806,6.6000000000000005,Fill
47.59004243,-122.3930806,-1.1499999999999986,Silty sand
47.59004243,-122.3930806,-5.649999999999999,Silt
47.59004243,-122.3930806,-9.149999999999999,Silty sand
47.59032356,-122.392823,9.25,Sand
47.59032356,-122.392823,0.25,Clayey sand
47.59032356,-122.392823,-8.25,Sand
47.59028447,-122.3928662,9.3,Sand
47.59028447,-122.3928662,2.0500000000000007,Sandy silt
47.59028447,-122.3928662,-3.9499999999999993,Sand
47.59090921,-122.3920493,19.4,Silty sand
47.59090921,-122.3920493,9.65,Silt
